categorie,marque,description
Chocolat,Cemoi,Chocolat et confiserie
Chocolat,Monbana,Chocolats chauds
Chocolat,Banania,Poudre chocolatée
Chocolat,Ricore,Boisson chicorée-café
Chocolat,Carambar,Bonbons
Chocolat,Lutti,Confiserie
Chocolat,Krema,Chocolat
Chocolat,Jacques,Chocolat belge (mais très présent en France)
Sauces,Amora,Moutarde et sauces
Sauces,Maille,Moutarde et condiments
Sauces,Benedicta,Mayonnaise et sauces
Sauces,Lesieur,Huiles
Sauces,Puget,Huiles d'olive
Sauces,Isio 4,Huiles Lesieur
Sauces,St Hubert,Margarines
Sauces,Fruit d'Or,Margarines
Sauces,Primevère,Margarines
Sauces,Planta Fin,Matières grasses
Sauces,Bonduelle,Légumes en conserve
Sauces,Cassegrain,Légumes en conserve
Sauces,D'Aucy,Légumes en conserve
Plats cuisinés,Fleury Michon,Charcuterie et plats préparés
Plats cuisinés,Herta,Charcuterie
Plats cuisinés,Justin Bridou,Saucisson
Plats cuisinés,William Saurin,Plats cuisinés
Plats cuisinés,Marie,Plats surgelés
Plats cuisinés,Père Dodu,Volailles
Plats cuisinés,Cochonou,Saucisson
Plats cuisinés,Aoste,Charcuterie
Distributeurs,Carrefour,MDD Carrefour
Distributeurs,Carrefour Bio,Bio Carrefour
Distributeurs,Carrefour Extra,Premium Carrefour
Distributeurs,Auchan,MDD Auchan
Distributeurs,Auchan Bio,Bio Auchan
Distributeurs,Monoprix,MDD Monoprix
Distributeurs,Monoprix Bio,Bio Monoprix
Distributeurs,Monoprix Gourmet,Premium Monoprix
Distributeurs,Leclerc,MDD Leclerc
Distributeurs,Marque Repère,MDD Leclerc
Distributeurs,Eco+,Entrée de gamme Leclerc
Distributeurs,Intermarché,MDD Intermarché
Distributeurs,Pâturages,Laitiers Intermarché
Distributeurs,Casino,MDD Casino
Distributeurs,Casino Bio,Bio Casino
Distributeurs,Système U,MDD Système U
Distributeurs,U,MDD Système U
Distributeurs,U Bio,Bio Système U
Distributeurs,U Saveurs,Premium Système U
Distributeurs,Lidl,Enseigne discount
Distributeurs,Milbona,Laitiers Lidl
Distributeurs,Bio Organic,Bio Lidl
Distributeurs,Aldi,Enseigne discount
Distributeurs,Biocoop,Réseau bio
Distributeurs,Picard,Surgelés
Distributeurs,Franprix,Supermarché urbain
Distributeurs,Simply Market,Supermarché
Distributeurs,Grand Frais,Primeur et frais
Boissons,Vittel,Eau minérale
Boissons,Contrex,Eau minérale
Boissons,Hépar,Eau minérale
Boissons,Evian,Eau minérale
Boissons,Badoit,Eau gazeuse
Boissons,Volvic,Eau minérale
Boissons,Cristalline,Eau de source
Boissons,Thonon,Eau minérale
Boissons,St Yorre,Eau gazeuse
Boissons,Vichy Célestins,Eau gazeuse
Boissons,Orangina,Soda aux agrumes
Boissons,Oasis,Boissons aux fruits
Boissons,Pago,Jus de fruits
Boissons,Joker,Jus de fruits
Boissons,Pampryl,Jus de fruits
Boissons,Granini,Jus de fruits
Boissons,Éléphant,Infusions
Boissons,Kusmi Tea,Thés
Boissons,Mariage Frères,Thés
Bébé,Blédina,Alimentation infantile
Bébé,Picot,Lait infantile
Bébé,Gallia,Lait infantile
Bébé,Guigoz,Lait infantile


